STN,YYYYMMDD,TG,SQ,Q,date,day_nr
380,20030101,6.0,3,75168000000,2003-01-01,1
380,20030102,9.8,20,154656000000,2003-01-02,2
380,20030103,7.2,2,109728000000,2003-01-03,3
380,20030104,-0.9,5,115776000000,2003-01-04,4
380,20030105,-2.5,23,266976000000,2003-01-05,5
380,20030106,-2.1,15,157248000000,2003-01-06,6
380,20030107,-4.9,15,215136000000,2003-01-07,7
380,20030108,-7.7,72,425952000000,2003-01-08,8
380,20030109,-7.9,72,384480000000,2003-01-09,9
380,20030110,-6.1000000000000005,23,271296000000,2003-01-10,10
380,20030111,-4.3,62,411264000000,2003-01-11,11
380,20030112,-3.0,5,134784000000,2003-01-12,12
380,20030113,3.1,0,29376000000,2003-01-13,13
380,20030114,5.800000000000001,0,65664000000,2003-01-14,14
380,20030115,4.4,0,99360000000,2003-01-15,15
380,20030116,3.9000000000000004,40,279072000000,2003-01-16,16
380,20030117,3.0,70,444096000000,2003-01-17,17
380,20030118,2.6,0,107136000000,2003-01-18,18
380,20030119,5.1000000000000005,0,126144000000,2003-01-19,19
380,20030120,7.800000000000001,12,187488000000,2003-01-20,20
380,20030121,7.800000000000001,24,237600000000,2003-01-21,21
380,20030122,6.9,10,154656000000,2003-01-22,22
380,20030123,5.5,0,31968000000,2003-01-23,23
380,20030124,1.9000000000000001,63,488160000000,2003-01-24,24
380,20030125,2.6,72,469152000000,2003-01-25,25
380,20030126,4.7,5,162432000000,2003-01-26,26
380,20030127,8.8,0,69120000000,2003-01-27,27
380,20030128,4.7,3,148608000000,2003-01-28,28
380,20030129,2.9000000000000004,6,93312000000,2003-01-29,29
380,20030130,-0.4,8,184896000000,2003-01-30,30
380,20030131,-3.9000000000000004,62,540864000000,2003-01-31,31
380,20030201,-3.5,44,403488000000,2003-02-01,32
380,20030202,2.4000000000000004,3,163296000000,2003-02-02,33
380,20030203,3.2,2,222912000000,2003-02-03,34
380,20030204,1.0,43,410400000000,2003-02-04,35
380,20030205,1.9000000000000001,30,334368000000,2003-02-05,36
380,20030206,1.1,49,490752000000,2003-02-06,37
380,20030207,2.4000000000000004,0,127872000000,2003-02-07,38
380,20030208,5.1000000000000005,6,250560000000,2003-02-08,39
380,20030209,4.5,0,126144000000,2003-02-09,40
380,20030210,0.9,64,624672000000,2003-02-10,41
380,20030211,-0.6000000000000001,89,783648000000,2003-02-11,42
380,20030212,-2.5,90,823392000000,2003-02-12,43
380,20030213,-2.5,87,819072000000,2003-02-13,44
380,20030214,-1.8,87,788832000000,2003-02-14,45
380,20030215,-2.8000000000000003,50,539136000000,2003-02-15,46
380,20030216,-1.5,76,799200000000,2003-02-16,47
380,20030217,-2.6,91,834624000000,2003-02-17,48
380,20030218,-1.9000000000000001,93,893376000000,2003-02-18,49
380,20030219,0.2,90,883008000000,2003-02-19,50
380,20030220,1.9000000000000001,91,902016000000,2003-02-20,51
380,20030221,2.8000000000000003,93,876096000000,2003-02-21,52
380,20030222,2.2,93,903744000000,2003-02-22,53
380,20030223,5.800000000000001,93,877824000000,2003-02-23,54
380,20030224,6.5,92,916704000000,2003-02-24,55
380,20030225,4.3,95,1016064000000,2003-02-25,56
380,20030226,5.300000000000001,29,380160000000,2003-02-26,57
380,20030227,9.3,58,787104000000,2003-02-27,58
380,20030228,9.5,53,768096000000,2003-02-28,59
380,20030301,9.3,58,781920000000,2003-03-01,60
380,20030302,8.0,6,345600000000,2003-03-02,61
380,20030303,5.2,30,588384000000,2003-03-03,62
380,20030304,6.5,74,810432000000,2003-03-04,63
380,20030305,11.0,38,722304000000,2003-03-05,64
380,20030306,7.1000000000000005,3,138240000000,2003-03-06,65
380,20030307,5.9,64,828576000000,2003-03-07,66
380,20030308,8.1,33,655776000000,2003-03-08,67
380,20030309,10.5,60,931392000000,2003-03-09,68
380,20030310,10.0,22,622944000000,2003-03-10,69
380,20030311,10.8,0,156384000000,2003-03-11,70
380,20030312,7.5,14,415584000000,2003-03-12,71
380,20030313,4.800000000000001,77,1167264000000,2003-03-13,72
380,20030314,4.9,107,1350432000000,2003-03-14,73
380,20030315,5.0,107,1329696000000,2003-03-15,74
380,20030316,5.7,109,1372896000000,2003-03-16,75
380,20030317,5.4,100,1331424000000,2003-03-17,76
380,20030318,5.2,108,1315872000000,2003-03-18,77
380,20030319,6.6000000000000005,110,1369440000000,2003-03-19,78
380,20030320,4.2,51,893376000000,2003-03-20,79
380,20030321,5.2,107,1401408000000,2003-03-21,80
380,20030322,6.4,111,1525824000000,2003-03-22,81
380,20030323,9.4,113,1485216000000,2003-03-23,82
380,20030324,13.700000000000001,108,1399680000000,2003-03-24,83
380,20030325,11.600000000000001,13,625536000000,2003-03-25,84
380,20030326,11.3,81,1273536000000,2003-03-26,85
380,20030327,11.9,102,1343520000000,2003-03-27,86
380,20030328,14.700000000000001,100,1414368000000,2003-03-28,87
380,20030329,14.200000000000001,18,876096000000,2003-03-29,88
380,20030330,11.700000000000001,63,1116288000000,2003-03-30,89
380,20030331,7.6000000000000005,109,1590624000000,2003-03-31,90
380,20030401,8.8,52,1030752000000,2003-04-01,91
380,20030402,4.9,31,724032000000,2003-04-02,92
380,20030403,4.0,40,983232000000,2003-04-03,93
380,20030404,6.1000000000000005,73,1323648000000,2003-04-04,94
380,20030405,7.7,72,1422144000000,2003-04-05,95
380,20030406,4.7,51,1038528000000,2003-04-06,96
380,20030407,2.1,122,1880064000000,2003-04-07,97
380,20030408,2.5,120,1862784000000,2003-04-08,98
380,20030409,2.3000000000000003,104,1654560000000,2003-04-09,99
380,20030410,1.4000000000000001,42,898560000000,2003-04-10,100
380,20030411,4.1000000000000005,102,1509408000000,2003-04-11,101
380,20030412,8.8,90,1598400000000,2003-04-12,102
380,20030413,12.5,113,1748736000000,2003-04-13,103
380,20030414,14.700000000000001,113,1844640000000,2003-04-14,104
380,20030415,17.0,126,1962144000000,2003-04-15,105
380,20030416,17.3,128,1937088000000,2003-04-16,106
380,20030417,15.9,128,1936224000000,2003-04-17,107
380,20030418,12.200000000000001,124,1949184000000,2003-04-18,108
380,20030419,6.300000000000001,26,650592000000,2003-04-19,109
380,20030420,10.100000000000001,80,1372032000000,2003-04-20,110
380,20030421,15.0,95,1786752000000,2003-04-21,111
