# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 380         5.762       50.906      114.30      Maastricht  
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
# SQ        : Zonneschijnduur (in 0.1 uur) berekend uit de globale straling (-1 voor <0.05 uur) / Sunshine duration (in 0.1 hour) calculated from global radiation (-1 for <0.05 hour)
# Q         : Globale straling (in J/cm2) / Global radiation (in J/cm2)
# STN,YYYYMMDD,   TG,   SQ,    Q
  380,20010101,   50,    0,   69
  380,20010102,   92,   38,  295
  380,20010103,   67,   19,  255
  380,20010104,   79,    2,  141
  380,20010105,   83,    0,   41
  380,20010106,   60,    5,   86
  380,20010107,   50,   10,  172
  380,20010108,   38,   32,  316
  380,20010109,   38,    4,  197
  380,20010110,   21,    0,  106
  380,20010111,   25,    2,  113
  380,20010112,    3,   72,  496
  380,20010113,   -8,   72,  523
  380,20010114,  -16,   71,  575
  380,20010115,  -17,   75,  529
  380,20010116,  -29,   73,  503
  380,20010117,  -37,   70,  501
  380,20010118,   11,    5,  221
  380,20010119,   13,    0,  220
  380,20010120,    0,    6,  170
  380,20010121,   -3,   41,  395
  380,20010122,   66,    3,  148
  380,20010123,   86,   17,  303
  380,20010124,   86,    7,  241
  380,20010125,   61,    0,  148
  380,20010126,   50,   10,  255
  380,20010127,   39,    9,  143
  380,20010128,   29,   60,  538
  380,20010129,   29,   12,  235
  380,20010130,   14,   12,  279
  380,20010131,   17,   13,  329
  380,20010201,   -7,   17,  367
  380,20010202,    2,    0,  153
  380,20010203,   41,    0,   98
  380,20010204,   70,    0,   98
  380,20010205,   92,    5,  258
  380,20010206,  109,    0,  186
  380,20010207,   98,   21,  417
  380,20010208,  104,   40,  535
  380,20010209,   36,   40,  696
  380,20010210,   29,   44,  545
  380,20010211,   91,   19,  332
  380,20010212,  109,   12,  448
