# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
#
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
#
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 380         5.762       50.906      114.30      Maastricht
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
# SQ        : Zonneschijnduur (in 0.1 uur) berekend uit de globale straling (-1 voor <0.05 uur) / Sunshine duration (in 0.1 hour) calculated from global radiation (-1 for <0.05 hour)
# Q         : Globale straling (in J/cm2) / Global radiation (in J/cm2)
# STN,YYYYMMDD,   TG,   SQ,    Q
  380,20030101,   60,    3,   87
  380,20030102,   98,   20,  179
  380,20030103,   72,    2,  127
  380,20030104,   -9,    5,  134
  380,20030105,  -25,   23,  309
  380,20030106,  -21,   15,  182
  380,20030107,  -49,   15,  249
  380,20030108,  -77,   72,  493
  380,20030109,  -79,   72,  445
  380,20030110,  -61,   23,  314
  380,20030111,  -43,   62,  476
  380,20030112,  -30,    5,  156
  380,20030113,   31,    0,   34
  380,20030114,   58,    0,   76
  380,20030115,   44,    0,  115
  380,20030116,   39,   40,  323
  380,20030117,   30,   70,  514
  380,20030118,   26,    0,  124
  380,20030119,   51,    0,  146
  380,20030120,   78,   12,  217
  380,20030121,   78,   24,  275
  380,20030122,   69,   10,  179
  380,20030123,   55,    0,   37
  380,20030124,   19,   63,  565
  380,20030125,   26,   72,  543
  380,20030126,   47,    5,  188
  380,20030127,   88,    0,   80
  380,20030128,   47,    3,  172
  380,20030129,   29,    6,  108
  380,20030130,   -4,    8,  214
  380,20030131,  -39,   62,  626
  380,20030201,  -35,   44,  467
  380,20030202,   24,    3,  189
  380,20030203,   32,    2,  258
  380,20030204,   10,   43,  475
  380,20030205,   19,   30,  387
  380,20030206,   11,   49,  568
  380,20030207,   24,    0,  148
  380,20030208,   51,    6,  290
  380,20030209,   45,    0,  146
  380,20030210,    9,   64,  723
  380,20030211,   -6,   89,  907
  380,20030212,  -25,   90,  953
  380,20030213,  -25,   87,  948
  380,20030214,  -18,   87,  913
  380,20030215,  -28,   50,  624
  380,20030216,  -15,   76,  925
  380,20030217,  -26,   91,  966
  380,20030218,  -19,   93, 1034
  380,20030219,    2,   90, 1022
  380,20030220,   19,   91, 1044
  380,20030221,   28,   93, 1014
  380,20030222,   22,   93, 1046
  380,20030223,   58,   93, 1016
  380,20030224,   65,   92, 1061
  380,20030225,   43,   95, 1176
  380,20030226,   53,   29,  440
  380,20030227,   93,   58,  911
  380,20030228,   95,   53,  889
  380,20030301,   93,   58,  905
  380,20030302,   80,    6,  400
  380,20030303,   52,   30,  681
  380,20030304,   65,   74,  938
  380,20030305,  110,   38,  836
  380,20030306,   71,    3,  160
  380,20030307,   59,   64,  959
  380,20030308,   81,   33,  759
  380,20030309,  105,   60, 1078
  380,20030310,  100,   22,  721
  380,20030311,  108,    0,  181
  380,20030312,   75,   14,  481
  380,20030313,   48,   77, 1351
  380,20030314,   49,  107, 1563
  380,20030315,   50,  107, 1539
  380,20030316,   57,  109, 1589
  380,20030317,   54,  100, 1541
  380,20030318,   52,  108, 1523
  380,20030319,   66,  110, 1585
  380,20030320,   42,   51, 1034
  380,20030321,   52,  107, 1622
  380,20030322,   64,  111, 1766
  380,20030323,   94,  113, 1719
  380,20030324,  137,  108, 1620
  380,20030325,  116,   13,  724
  380,20030326,  113,   81, 1474
